  PWAT-PARM3
*** < PLS>    PETMAX    PETMIN    INFEXP    INFILD    DEEPFR    BASETP    AGWETP
*** x  - x   (deg F)   (deg F)
***<IHM_PWAT_PARM3>
  754             40        35     5.960         2      1.00         0         0
  755             40        35     5.960         2      1.00         0         0
  761             40        35     3.180         2      1.00         0         0
  762             40        35     3.180         2      1.00         0         0
  763             40        35     3.180         2      1.00         0         0
  765             40        35     3.180         2      1.00         0         0
  771             40        35     3.180         2      1.00         0         0
  772             40        35     3.180         2      1.00         0         0
  773             40        35     3.180         2      1.00         0         0
  774             40        35     3.180         2      1.00         0         0
  775             40        35     3.180         2      1.00         0         0
  781             40        35     3.100         2      1.00         0         0
  782             40        35     3.100         2      1.00         0         0
  783             40        35     3.100         2      1.00         0         0
  785             40        35     3.100         2      1.00         0         0
  791             40        35     3.100         2      1.00         0         0
  792             40        35     3.100         2      1.00         0         0
  793             40        35     3.100         2      1.00         0         0
  794             40        35     3.100         2      1.00         0         0
  795             40        35     3.100         2      1.00         0         0
  801             40        35     3.100         2      1.00         0         0
  802             40        35     3.100         2      1.00         0         0
  803             40        35     3.100         2      1.00         0         0
  805             40        35     3.100         2      1.00         0         0
***</IHM_PWAT_PARM3>

  END PWAT-PARM3
