  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
  624              0      0.01     0.643       122   0.00141         0      0.99
  625              0      0.01     0.658        69   0.00165         0      0.99
  631              0      0.01     4.336       400   0.00279         0      0.99
  632              0      0.01     4.488       165   0.00357         0      0.99
  633              0      0.01     5.278       175   0.00327         0      0.99
  634              0      0.01     3.719       102   0.00232         0      0.99
  635              0      0.01     4.392        58   0.00414         0      0.99
  641              0      0.01     1.513       400   0.00296         0      0.99
  642              0      0.01     1.094       160   0.00359         0      0.99
  643              0      0.01     1.138       238   0.00452         0      0.99
  644              0      0.01     1.124       300   0.00285         0      0.99
  645              0      0.01     1.090        58   0.00484         0      0.99
  651              0      0.01     1.186       400   0.00217         0      0.99
  652              0      0.01     1.162       177   0.00258         0      0.99
  653              0      0.01     1.177       232   0.00557         0      0.99
  654              0      0.01     1.040       117   0.00293         0      0.99
  655              0      0.01     1.208        61   0.00363         0      0.99
  661              0      0.01     3.459       400   0.00452         0      0.99
  662              0      0.01     4.243       161   0.00358         0      0.99
  663              0      0.01     4.546       225   0.00736         0      0.99
  664              0      0.01     3.839       103   0.00322         0      0.99
  665              0      0.01     4.468        58   0.00575         0      0.99
  671              0      0.01     1.151       400   0.00239         0      0.99
  672              0      0.01     1.134       160   0.00299         0      0.99
  673              0      0.01     1.135       228   0.00452         0      0.99
  674              0      0.01     1.175       100   0.00516         0      0.99
  675              0      0.01     1.090        58   0.00267         0      0.99
  681              0      0.01     5.050       400   0.00283         0      0.99
  682              0      0.01     5.668       162   0.00319         0      0.99
  683              0      0.01     5.106       190   0.00373         0      0.99
  684              0      0.01     3.196       100   0.00395         0      0.99
  685              0      0.01     4.731        57   0.00339         0      0.99
  691              0      0.01     1.311       400   0.00067         0      0.99
  692              0      0.01     1.184       221   0.00062         0      0.99
  693              0      0.01     1.097       226   0.00058         0      0.99
  694              0      0.01     1.161       100   0.00059         0      0.99
  701              0      0.01     0.648       400   0.00142         0      0.99
  702              0      0.01     0.634       183   0.00154         0      0.99
  703              0      0.01     0.645       111   0.00158         0      0.99
  705              0      0.01     0.717        80   0.00184         0      0.99
  721              0      0.01     1.138       400   0.00552         0      0.99
  722              0      0.01     1.126       160   0.00662         0      0.99
  723              0      0.01     1.123       238   0.00673         0      0.99
  725              0      0.01     1.139        69   0.00583         0      0.99
***</IHM_PWAT_PARM2>

  END PWAT-PARM2
