  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND 532                     173.906     COPY   260     11
PERLND 532                     470.991     COPY   260     21
PERLND 532                    2103.185     COPY   450     31
PERLND 533                     106.485     COPY   150     31
PERLND 533                      52.309     COPY   260     11
PERLND 533                     141.669     COPY   260     21
PERLND 533                     632.614     COPY   450     31
PERLND 534                      29.640     COPY   150     31
PERLND 534                      14.560     COPY   260     11
PERLND 534                      39.434     COPY   260     21
PERLND 534                     176.089     COPY   450     31
PERLND 535                     832.610     COPY   150     31
PERLND 535                     409.005     COPY   260     11
PERLND 535                    1107.714     COPY   260     21
PERLND 535                    4946.440     COPY   450     31
PERLND 541                    1110.760     COPY   150     41
PERLND 541                    1088.066     COPY   450     41
PERLND 542                    2844.627     COPY   150     41
PERLND 542                    2786.509     COPY   450     41
PERLND 543                    3196.385     COPY   150     41
PERLND 543                    3131.080     COPY   450     41
PERLND 544                     253.406     COPY   150     41
PERLND 544                     248.228     COPY   450     41
PERLND 545                     498.248     COPY   150     41
PERLND 545                     488.068     COPY   450     41
PERLND 551                     239.591     COPY   150     51
PERLND 551                      96.101     COPY   260     31
PERLND 551                     886.940     COPY   450     51
PERLND 552                     591.121     COPY   150     51
PERLND 552                     237.101     COPY   260     31
PERLND 552                    2188.264     COPY   450     51
PERLND 553                      80.929     COPY   150     51
PERLND 553                      32.461     COPY   260     31
PERLND 553                     299.592     COPY   450     51
PERLND 554                      93.558     COPY   150     51
PERLND 554                      37.526     COPY   260     31
PERLND 554                     346.340     COPY   450     51
PERLND 555                     287.368     COPY   150     51
PERLND 555                     115.264     COPY   260     31
PERLND 555                    1063.805     COPY   450     51
PERLND 561                     828.191     COPY   150     61
PERLND 561                       7.301     COPY   260     61
PERLND 561                     983.455     COPY   450     61
PERLND 562                    2648.071     COPY   150     61
PERLND 562                      23.344     COPY   260     61
PERLND 562                    3144.514     COPY   450     61
PERLND 563                    1263.429     COPY   150     61
PERLND 563                      11.138     COPY   260     61
PERLND 563                    1500.288     COPY   450     61
PERLND 564                     408.532     COPY   150     61
PERLND 564                       3.601     COPY   260     61
PERLND 564                     485.121     COPY   450     61
PERLND 565                     780.682     COPY   150     61
PERLND 565                       6.882     COPY   260     61
PERLND 565                     927.038     COPY   450     61
PERLND 571                     446.714     COPY   150     71
PERLND 571                     449.528     COPY   450     71
PERLND 572                    5029.874     COPY   150     71
PERLND 572                    5061.561     COPY   450     71
PERLND 573                     955.150     COPY   150     71
PERLND 573                     961.167     COPY   450     71
PERLND 574                    1983.468     COPY   150     71
PERLND 574                    1995.963     COPY   450     71
PERLND 575                      16.610     COPY   150     71
PERLND 575                      16.714     COPY   450     71
PERLND 581                    1357.481     COPY   150     81
PERLND 581                     109.963     COPY   260     41
PERLND 581                    1228.512     COPY   450     81
PERLND 582                    9593.462     COPY   150     81
PERLND 582                     777.123     COPY   260     41
PERLND 582                    8682.025     COPY   450     81
PERLND 583                    6050.899     COPY   150     81
PERLND 583                     490.156     COPY   260     41
PERLND 583                    5476.026     COPY   450     81
PERLND 584                     174.225     COPY   150     81
PERLND 584                      14.113     COPY   260     41
PERLND 584                     157.672     COPY   450     81
PERLND 585                     140.857     COPY   150     81
PERLND 585                      11.410     COPY   260     41
PERLND 585                     127.475     COPY   450     81
PERLND 591                    1890.259     COPY   150     91
PERLND 591                    1628.476     COPY   450     91
PERLND 592                    5496.973     COPY   150     91
PERLND 592                    4735.693     COPY   450     91
PERLND 593                    2547.032     COPY   150     91
PERLND 593                    2194.291     COPY   450     91
PERLND 594                      29.942     COPY   150     91
PERLND 594                      25.796     COPY   450     91
PERLND 595                      29.733     COPY   150     91
PERLND 595                      25.615     COPY   450     91
PERLND 601                     837.253     COPY   160      1
PERLND 601                     237.414     COPY   260     51
PERLND 601                     917.292     COPY   460      1
PERLND 602                    1157.747     COPY   160      1
PERLND 602                     328.295     COPY   260     51
PERLND 602                    1268.425     COPY   460      1
PERLND 603                    2035.030     COPY   160      1
PERLND 603                     577.060     COPY   260     51
PERLND 603                    2229.575     COPY   460      1
PERLND 604                     115.939     COPY   160      1
PERLND 604                      32.876     COPY   260     51
PERLND 604                     127.022     COPY   460      1
PERLND 605                     408.068     COPY   160      1
PERLND 605                     115.713     COPY   260     51
PERLND 605                     447.078     COPY   460      1
PERLND 611                    1791.214     COPY   160     11
PERLND 611                     383.875     COPY   260     61
PERLND 611                    3282.071     COPY   460     11
PERLND 612                    3755.280     COPY   160     11
PERLND 612                     804.793     COPY   260     61
PERLND 612                    6880.863     COPY   460     11
PERLND 613                    3909.642     COPY   160     11
PERLND 613                     837.875     COPY   260     61
PERLND 613                    7163.703     COPY   460     11
PERLND 614                     239.837     COPY   160     11
PERLND 614                      51.399     COPY   260     61
PERLND 614                     439.457     COPY   460     11
PERLND 615                    1760.443     COPY   160     11
PERLND 615                     377.280     COPY   260     61
PERLND 615                    3225.689     COPY   460     11
PERLND 621                     237.883     COPY   160     21
PERLND 621                     290.919     COPY   460     21
PERLND 622                    1541.969     COPY   160     21
PERLND 622                    1885.749     COPY   460     21
PERLND 623                    2143.128     COPY   160     21
PERLND 623                    2620.936     COPY   460     21
PERLND 624                     462.240     COPY   160     21
PERLND 624                     565.296     COPY   460     21
PERLND 625                     519.487     COPY   160     21
PERLND 625                     635.306     COPY   460     21
PERLND 631                     205.412     COPY   160     31
PERLND 631                      70.985     COPY   260     71
PERLND 631                      43.421     COPY   260     81
PERLND 631                    1065.679     COPY   460     31
PERLND 632                     693.493     COPY   160     31
PERLND 632                     239.652     COPY   260     71
PERLND 632                     146.595     COPY   260     81
PERLND 632                    3597.843     COPY   460     31
PERLND 633                     782.370     COPY   160     31
PERLND 633                     270.365     COPY   260     71
PERLND 633                     165.382     COPY   260     81
PERLND 633                    4058.939     COPY   460     31
PERLND 634                    1172.464     COPY   160     31
PERLND 634                     405.171     COPY   260     71
PERLND 634                     247.843     COPY   260     81
PERLND 634                    6082.746     COPY   460     31
PERLND 635                     926.622     COPY   160     31
PERLND 635                     320.215     COPY   260     71
PERLND 635                     195.875     COPY   260     81
PERLND 635                    4807.319     COPY   460     31
PERLND 641                        .443     COPY   160     41
PERLND 641                      14.665     COPY   270     11
PERLND 641                        .051     COPY   270     21
PERLND 641                       8.991     COPY   460     41
PERLND 642                      15.582     COPY   160     41
PERLND 642                     515.737     COPY   270     11
PERLND 642                       1.788     COPY   270     21
PERLND 642                     316.173     COPY   460     41
PERLND 643                       7.621     COPY   160     41
PERLND 643                     252.240     COPY   270     11
PERLND 643                        .875     COPY   270     21
PERLND 643                     154.636     COPY   460     41
PERLND 644                       1.213     COPY   160     41
PERLND 644                      40.143     COPY   270     11
PERLND 644                        .139     COPY   270     21
PERLND 644                      24.610     COPY   460     41
PERLND 645                      27.580     COPY   160     41
PERLND 645                     912.842     COPY   270     11
PERLND 645                       3.165     COPY   270     21
PERLND 645                     559.619     COPY   460     41
PERLND 651                      48.556     COPY   160     51
PERLND 651                       6.541     COPY   260     91
PERLND 651                     157.524     COPY   270     21
PERLND 651                     735.441     COPY   460     51
PERLND 652                     130.756     COPY   160     51
PERLND 652                      17.614     COPY   260     91
PERLND 652                     424.198     COPY   270     21
PERLND 652                    1980.468     COPY   460     51
PERLND 653                      36.551     COPY   160     51
PERLND 653                       4.924     COPY   260     91
PERLND 653                     118.578     COPY   270     21
PERLND 653                     553.612     COPY   460     51
PERLND 654                      27.367     COPY   160     51
PERLND 654                       3.687     COPY   260     91
PERLND 654                      88.785     COPY   270     21
PERLND 654                     414.516     COPY   460     51
PERLND 655                     140.906     COPY   160     51
PERLND 655                      18.982     COPY   260     91
PERLND 655                     457.128     COPY   270     21
PERLND 655                    2134.212     COPY   460     51
