  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  255     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  261     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  262     0.0090.0170.0260.0460.0460.0460.0460.0460.0460.0460.0260.017
  263     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  264     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  265     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  271     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  272     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  273     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
  274     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  275     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  281     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  282     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  283     0.0130.0270.0400.0720.0720.0720.0720.0720.0720.0720.0400.027
  284     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  285     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  361     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  362     0.0100.0200.0300.0540.0540.0540.0540.0540.0540.0540.0300.020
  363     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  364     0.0090.0170.0260.0460.0460.0460.0460.0460.0460.0460.0260.017
  365     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  391     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  392     0.0090.0180.0270.0470.0470.0470.0470.0470.0470.0470.0270.018
  393     0.0120.0250.0370.0660.0660.0660.0660.0660.0660.0660.0370.025
  395     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  431     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  432     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  433     0.0120.0240.0370.0650.0650.0650.0650.0650.0650.0650.0370.024
  434     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  435     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  441     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  442     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  443     0.0120.0240.0370.0650.0650.0650.0650.0650.0650.0650.0370.024
  444     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  445     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  451     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  452     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  453     0.0130.0260.0380.0680.0680.0680.0680.0680.0680.0680.0380.026
  454     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  455     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  461     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  462     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  463     0.0140.0270.0410.0720.0720.0720.0720.0720.0720.0720.0410.027
  464     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  465     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  471     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  472     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  473     0.0140.0270.0410.0730.0730.0730.0730.0730.0730.0730.0410.027
  474     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  475     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  481     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  482     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  483     0.0130.0270.0400.0710.0710.0710.0710.0710.0710.0710.0400.027
  484     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  485     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  491     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
