  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
  861              0      0.01     3.227       400   0.00401         0      0.99
  862              0      0.01     3.245       162   0.00249         0      0.99
  863              0      0.01     3.249       193   0.00677         0      0.99
  864              0      0.01     3.250       300   0.00116         0      0.99
  865              0      0.01     3.233        74   0.00488         0      0.99
  871              0      0.01     3.231       400   0.00587         0      0.99
  872              0      0.01     2.970       160   0.00461         0      0.99
  873              0      0.01     3.150       237   0.00564         0      0.99
  875              0      0.01     2.904        80   0.00345         0      0.99
  881              0      0.01     3.013       400   0.00286         0      0.99
  882              0      0.01     3.001       162   0.00274         0      0.99
  883              0      0.01     3.030       189   0.00305         0      0.99
  884              0      0.01     3.250       300    0.0024         0      0.99
  885              0      0.01     2.784        59   0.00277         0      0.99
  891              0      0.01     3.127       400   0.00237         0      0.99
  892              0      0.01     3.143       161    0.0023         0      0.99
  893              0      0.01     2.049       240   0.00264         0      0.99
  895              0      0.01     2.937        80    0.0039         0      0.99
  901              0      0.01     3.250       400   0.00238         0      0.99
  902              0      0.01     3.228       180   0.00146         0      0.99
  911              0      0.01     3.026       400   0.00365         0      0.99
  912              0      0.01     3.200       160   0.00379         0      0.99
  913              0      0.01     3.250       240   0.00633         0      0.99
  915              0      0.01     2.846        80   0.00314         0      0.99
  921              0      0.01     3.131       400   0.00162         0      0.99
  922              0      0.01     3.210       165   0.00171         0      0.99
  923              0      0.01     1.777       216   0.00103         0      0.99
  925              0      0.01     2.797        80   0.00262         0      0.99
  931              0      0.01     2.909       400   0.00433         0      0.99
  932              0      0.01     3.083       160   0.00476         0      0.99
  933              0      0.01     3.196       178   0.00475         0      0.99
  935              0      0.01     3.072        80    0.0043         0      0.99
  941              0      0.01     1.261       400   0.00209         0      0.99
  942              0      0.01     1.283       204   0.00194         0      0.99
  943              0      0.01     1.300        80   0.00176         0      0.99
  944              0      0.01     1.296       300   0.00204         0      0.99
  945              0      0.01     1.293        79    0.0041         0      0.99
  951              0      0.01     1.254       400   0.00142         0      0.99
  952              0      0.01     1.290       171   0.00109         0      0.99
  953              0      0.01     1.278       129   0.00155         0      0.99
  954              0      0.01     0.599       100   0.00091         0      0.99
  955              0      0.01     1.269        70   0.00112         0      0.99
  961              0      0.01     1.261       400   0.00196         0      0.99
  962              0      0.01     1.268       183   0.00198         0      0.99
  963              0      0.01     1.290       186   0.00344         0      0.99
  965              0      0.01     1.295        64   0.00228         0      0.99
  971              0      0.01     4.506       400   0.00498         0      0.99
  972              0      0.01     4.354       160   0.00534         0      0.99
  973              0      0.01     4.313       170   0.00521         0      0.99
  974              0      0.01     5.231       250   0.00673         0      0.99
  975              0      0.01     4.586        61   0.00531         0      0.99
  981              0      0.01     1.683       400   0.00451         0      0.99
  982              0      0.01     1.735       160   0.00589         0      0.99
  983              0      0.01     1.735       199   0.00478         0      0.99
  984              0      0.01     0.708       300   0.00295         0      0.99
  985              0      0.01     1.724        60   0.00497         0      0.99
  991              0      0.01     0.690       400   0.00573         0      0.99
  992              0      0.01     0.704       160    0.0059         0      0.99
  993              0      0.01     0.695       216   0.00575         0      0.99
  994              0      0.01     0.714       100   0.00642         0      0.99
  995              0      0.01     0.706        60   0.00516         0      0.99
***</IHM_PWAT_PARM2>

  END PWAT-PARM2
