  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND 675                      39.950     COPY    60     71
PERLND 675                        .795     COPY   220     41
PERLND 675                     281.477     COPY   360     71
PERLND 681                     746.633     COPY    60     81
PERLND 681                     131.954     COPY   220     41
PERLND 681                    1366.475     COPY   360     81
PERLND 682                    1329.062     COPY    60     81
PERLND 682                     234.888     COPY   220     41
PERLND 682                    2432.426     COPY   360     81
PERLND 683                     197.927     COPY    60     81
PERLND 683                      34.980     COPY   220     41
PERLND 683                     362.242     COPY   360     81
PERLND 684                      98.327     COPY    60     81
PERLND 684                      17.378     COPY   220     41
PERLND 684                     179.957     COPY   360     81
PERLND 685                     673.083     COPY    60     81
PERLND 685                     118.956     COPY   220     41
PERLND 685                    1231.865     COPY   360     81
PERLND 691                     200.021     COPY    60     91
PERLND 691                     479.406     COPY   360     91
PERLND 692                     221.229     COPY    60     91
PERLND 692                     530.238     COPY   360     91
PERLND 693                      34.203     COPY    60     91
PERLND 693                      81.977     COPY   360     91
PERLND 695                     400.944     COPY    60     91
PERLND 695                     960.978     COPY   360     91
PERLND 701                      36.645     COPY    70      1
PERLND 701                     234.191     COPY   370      1
PERLND 702                     398.317     COPY    70      1
PERLND 702                    2545.543     COPY   370      1
PERLND 703                     124.571     COPY    70      1
PERLND 703                     796.098     COPY   370      1
PERLND 704                       5.949     COPY    70      1
PERLND 704                      38.019     COPY   370      1
PERLND 705                     367.230     COPY    70      1
PERLND 705                    2346.875     COPY   370      1
PERLND 711                      15.269     COPY    70     11
PERLND 711                      10.538     COPY   220     51
PERLND 711                      47.032     COPY   370     11
PERLND 712                     146.914     COPY    70     11
PERLND 712                     101.392     COPY   220     51
PERLND 712                     452.532     COPY   370     11
PERLND 713                      60.169     COPY    70     11
PERLND 713                      41.525     COPY   220     51
PERLND 713                     185.335     COPY   370     11
PERLND 714                       2.150     COPY    70     11
PERLND 714                       1.484     COPY   220     51
PERLND 714                       6.622     COPY   370     11
PERLND 715                     576.326     COPY    70     11
PERLND 715                     397.748     COPY   220     51
PERLND 715                    1775.224     COPY   370     11
PERLND 721                      45.689     COPY    70     21
PERLND 721                      63.625     COPY   370     21
PERLND 722                     116.863     COPY    70     21
PERLND 722                     162.740     COPY   370     21
PERLND 723                      16.775     COPY    70     21
PERLND 723                      23.361     COPY   370     21
PERLND 725                      36.994     COPY    70     21
PERLND 725                      51.516     COPY   370     21
PERLND 731                      78.158     COPY    70     31
PERLND 731                     153.855     COPY   370     31
PERLND 732                     298.380     COPY    70     31
PERLND 732                     587.364     COPY   370     31
PERLND 733                      88.328     COPY    70     31
PERLND 733                     173.874     COPY   370     31
PERLND 734                       4.341     COPY    70     31
PERLND 734                       8.546     COPY   370     31
PERLND 735                     662.932     COPY    70     31
PERLND 735                    1304.987     COPY   370     31
PERLND 741                      16.517     COPY    70     41
PERLND 741                      11.492     COPY   220     61
PERLND 741                      63.592     COPY   370     41
PERLND 742                     127.109     COPY    70     41
PERLND 742                      88.440     COPY   220     61
PERLND 742                     489.379     COPY   370     41
PERLND 743                      37.279     COPY    70     41
