  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  202     0.0090.0180.0270.0470.0470.0470.0470.0470.0470.0470.0270.018
  203     0.0120.0250.0370.0660.0660.0660.0660.0660.0660.0660.0370.025
  204     0.0090.0170.0260.0460.0460.0460.0460.0460.0460.0460.0260.017
  205     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  211     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  212     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  213     0.0140.0280.0420.0740.0740.0740.0740.0740.0740.0740.0420.028
  214     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  215     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  221     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  222     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  223     0.0130.0270.0400.0720.0720.0720.0720.0720.0720.0720.0400.027
  224     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  225     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  231     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  232     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  233     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  234     0.0110.0230.0340.0600.0600.0600.0600.0600.0600.0600.0340.023
  235     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  241     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  242     0.0090.0180.0260.0470.0470.0470.0470.0470.0470.0470.0260.018
  243     0.0140.0280.0410.0740.0740.0740.0740.0740.0740.0740.0410.028
  244     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  245     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  251     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  252     0.0100.0200.0310.0540.0540.0540.0540.0540.0540.0540.0310.020
  253     0.0120.0250.0370.0650.0650.0650.0650.0650.0650.0650.0370.025
  254     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  255     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  261     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  262     0.0080.0170.0250.0450.0450.0450.0450.0450.0450.0450.0250.017
  263     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  264     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  265     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  271     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  272     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  273     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  274     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  275     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  281     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  282     0.0080.0160.0230.0420.0420.0420.0420.0420.0420.0420.0230.016
  283     0.0110.0220.0330.0580.0580.0580.0580.0580.0580.0580.0330.022
  284     0.0110.0220.0320.0570.0570.0570.0570.0570.0570.0570.0320.022
  285     0.0070.0140.0210.0380.0380.0380.0380.0380.0380.0380.0210.014
  291     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  292     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  293     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  295     0.0070.0140.0210.0370.0370.0370.0370.0370.0370.0370.0210.014
  311     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  312     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  313     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  315     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  321     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  322     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  323     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  325     0.0070.0140.0210.0380.0380.0380.0380.0380.0380.0380.0210.014
  331     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  332     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  333     0.0110.0220.0320.0580.0580.0580.0580.0580.0580.0580.0320.022
  334     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  335     0.0070.0140.0210.0380.0380.0380.0380.0380.0380.0380.0210.014
  341     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  342     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  343     0.0140.0280.0410.0740.0740.0740.0740.0740.0740.0740.0410.028
  344     0.0110.0230.0340.0600.0600.0600.0600.0600.0600.0600.0340.023
  345     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  351     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  352     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  353     0.0100.0200.0310.0540.0540.0540.0540.0540.0540.0540.0310.020
  354     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  355     0.0070.0140.0220.0390.0390.0390.0390.0390.0390.0390.0220.014
  361     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  362     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  363     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  365     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  371     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  372     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  373     0.0060.0130.0190.0340.0340.0340.0340.0340.0340.0340.0190.013
  374     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  375     0.0060.0130.0190.0340.0340.0340.0340.0340.0340.0340.0190.013
  381     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  382     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  383     0.0110.0230.0340.0600.0600.0600.0600.0600.0600.0600.0340.023
  385     0.0070.0130.0200.0350.0350.0350.0350.0350.0350.0350.0200.013
  391     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  392     0.0080.0160.0240.0430.0430.0430.0430.0430.0430.0430.0240.016
  393     0.0110.0230.0340.0600.0600.0600.0600.0600.0600.0600.0340.023
  394     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  395     0.0070.0130.0200.0350.0350.0350.0350.0350.0350.0350.0200.013
  401     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  402     0.0090.0180.0270.0470.0470.0470.0470.0470.0470.0470.0270.018
  403     0.0130.0270.0400.0720.0720.0720.0720.0720.0720.0720.0400.027
  405     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  411     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  412     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  413     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
  414     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  415     0.0070.0130.0200.0360.0360.0360.0360.0360.0360.0360.0200.013
  421     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  422     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  423     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  424     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  425     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  501     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  502     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  503     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  504     0.0070.0140.0220.0390.0390.0390.0390.0390.0390.0390.0220.014
  505     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  711     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  712     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  713     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  811     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  812     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  813     0.0120.0240.0370.0650.0650.0650.0650.0650.0650.0650.0370.024
  814     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  815     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  821     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  822     0.0110.0210.0320.0560.0560.0560.0560.0560.0560.0560.0320.021
  823     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  824     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  825     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  831     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  832     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  833     0.0130.0260.0390.0690.0690.0690.0690.0690.0690.0690.0390.026
  834     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  835     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  841     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  842     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  843     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  844     0.0110.0230.0340.0600.0600.0600.0600.0600.0600.0600.0340.023
  845     0.0070.0140.0220.0390.0390.0390.0390.0390.0390.0390.0220.014
  851     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  852     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  853     0.0130.0260.0390.0680.0680.0680.0680.0680.0680.0680.0390.026
  854     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  855     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  861     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  862     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  863     0.0130.0260.0380.0680.0680.0680.0680.0680.0680.0680.0380.026
  864     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  865     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  871     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  872     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  873     0.0140.0270.0410.0720.0720.0720.0720.0720.0720.0720.0410.027
  875     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  881     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  882     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  883     0.0120.0240.0360.0640.0640.0640.0640.0640.0640.0640.0360.024
  884     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  885     0.0070.0140.0220.0390.0390.0390.0390.0390.0390.0390.0220.014
  891     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  892     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  893     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  895     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  901     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  902     0.0100.0200.0300.0540.0540.0540.0540.0540.0540.0540.0300.020
  911     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  912     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  913     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
  915     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  921     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  922     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  923     0.0130.0250.0380.0680.0680.0680.0680.0680.0680.0680.0380.025
  925     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  931     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  932     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  933     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  935     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  941     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  942     0.0110.0210.0320.0560.0560.0560.0560.0560.0560.0560.0320.021
  943     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  944     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  945     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  951     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  952     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  953     0.0080.0160.0240.0430.0430.0430.0430.0430.0430.0430.0240.016
  954     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  955     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  961     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  962     0.0100.0200.0300.0530.0530.0530.0530.0530.0530.0530.0300.020
  963     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  965     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  971     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  972     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  973     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  974     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  975     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  981     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  982     0.0080.0170.0250.0440.0440.0440.0440.0440.0440.0440.0250.017
  983     0.0130.0250.0380.0680.0680.0680.0680.0680.0680.0680.0380.025
  984     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  985     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  991     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  992     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  993     0.0130.0260.0390.0690.0690.0690.0690.0690.0690.0690.0390.026
  994     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  995     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
***</IHM_MON_INTERCEP>

  END MON-INTERCEP
